event_id,user_id,session_id,event_name,event_timestamp,event_properties,page_name,platform,event_source,experiment_id,variant_id
17a4b2a0-7696-5f13-b51b-88297edf882f,156b8969-f41c-5070-bf45-9fd3875e9214,0c4a764a-748e-54c9-85ec-c04dd32ac268,signup,2026-03-10 03:47:57+00:00,"{""variant_id"": ""simplified""}",signup_page,web,user_action,exp_onboarding_v1,simplified
3f63ef70-46a0-5e7f-8907-e39936ac87ad,156b8969-f41c-5070-bf45-9fd3875e9214,ead661c2-7211-5824-b79d-0c78c14d3623,onboarding_start,2026-03-10 10:17:24+00:00,"{""variant_id"": ""simplified""}",onboarding,web,user_action,exp_onboarding_v1,simplified
05dc0bd8-5a8a-5b90-8be8-874078b57571,156b8969-f41c-5070-bf45-9fd3875e9214,5765b479-1623-5805-9e9a-3681edf4b490,session_start,2026-03-10 23:19:18+00:00,"{""variant_id"": ""simplified""}",session,web,user_action,,
74ba2e11-7695-54ef-96cb-e1cebff3fda6,156b8969-f41c-5070-bf45-9fd3875e9214,5765b479-1623-5805-9e9a-3681edf4b490,job_detail_view,2026-03-10 23:25:49+00:00,"{""variant_id"": ""simplified""}",job_detail,web,user_action,,
53bbf828-facd-5c22-b18f-3c04bf9dfa16,156b8969-f41c-5070-bf45-9fd3875e9214,5765b479-1623-5805-9e9a-3681edf4b490,session_end,2026-03-10 23:43:13+00:00,"{""variant_id"": ""simplified""}",session,web,user_action,,
2ebe4d39-a1db-56d6-9496-f3c5d351dd83,156b8969-f41c-5070-bf45-9fd3875e9214,047fef7d-a1ba-54f5-bf17-1227869ed58a,session_start,2026-03-14 15:53:44+00:00,"{""variant_id"": ""simplified""}",session,web,user_action,,
5d50e62e-9c64-5775-b815-76df85640c3b,156b8969-f41c-5070-bf45-9fd3875e9214,047fef7d-a1ba-54f5-bf17-1227869ed58a,session_end,2026-03-14 16:04:21+00:00,"{""variant_id"": ""simplified""}",session,web,user_action,,
7dfb7dec-939b-521f-879e-b6cc1d153842,156b8969-f41c-5070-bf45-9fd3875e9214,d2a12a52-e78e-5747-904d-23b32b534781,career_report_generate,2026-03-14 22:29:28+00:00,"{""variant_id"": ""simplified""}",career_report,web,user_action,exp_onboarding_v1,simplified
edda621f-0465-5c26-9118-5c6c4524fc47,a8376540-000d-5855-b682-9aa197e52914,1e6cda5e-5b1c-5da3-9141-461f8de63fe7,signup,2026-04-26 09:40:15+00:00,"{""variant_id"": ""control""}",signup_page,ios,user_action,exp_onboarding_v1,control
67a3d5d2-ecac-5f78-9b1a-ac0af645e109,a8376540-000d-5855-b682-9aa197e52914,b7d65d38-bf83-581d-90c0-18b4187ede6b,onboarding_start,2026-04-26 12:34:46+00:00,"{""variant_id"": ""control""}",onboarding,ios,user_action,exp_onboarding_v1,control
bcf24114-6308-588b-a1c1-0e4d5ac6d499,a8376540-000d-5855-b682-9aa197e52914,7c804d42-f662-5a74-898c-744bbb324aad,session_start,2026-04-26 17:57:06+00:00,"{""variant_id"": ""control""}",session,ios,user_action,,
828dcf32-8b15-521b-870d-9bb9d9477e8d,a8376540-000d-5855-b682-9aa197e52914,7c804d42-f662-5a74-898c-744bbb324aad,session_end,2026-04-26 18:11:30+00:00,"{""variant_id"": ""control""}",session,ios,user_action,,
64e4691d-37ba-512b-a39c-0dd899c890e1,a8376540-000d-5855-b682-9aa197e52914,deb3121f-1c2d-575e-b7d1-a6306d8d1c84,profile_complete,2026-04-27 00:05:29+00:00,"{""variant_id"": ""control""}",profile_edit,ios,user_action,exp_onboarding_v1,control
fcf12154-d441-5027-b08a-f0be4c81765f,a8376540-000d-5855-b682-9aa197e52914,76fcf31e-8f8d-5eb0-a845-6bcf08622e84,resume_upload,2026-04-28 12:59:57+00:00,"{""variant_id"": ""control""}",resume_upload,ios,user_action,exp_onboarding_v1,control
2e661e86-cf5e-56d7-922b-de9ed5020482,a8376540-000d-5855-b682-9aa197e52914,ec341b1b-0ef5-54b1-b3df-8d3746451e78,session_start,2026-04-28 18:18:41+00:00,"{""variant_id"": ""control""}",session,ios,user_action,,
3668381f-4132-5cca-95ec-7cf2ee577ad9,a8376540-000d-5855-b682-9aa197e52914,ec341b1b-0ef5-54b1-b3df-8d3746451e78,return_visit,2026-04-28 18:22:46+00:00,"{""variant_id"": ""control""}",dashboard,ios,user_action,,
150f6d73-f339-521a-bb07-c08673c66b6f,a8376540-000d-5855-b682-9aa197e52914,ec341b1b-0ef5-54b1-b3df-8d3746451e78,session_end,2026-04-28 18:48:05+00:00,"{""variant_id"": ""control""}",session,ios,user_action,,
ed4f3441-fbe8-5e97-b98c-e4950fee4780,a8376540-000d-5855-b682-9aa197e52914,cd591bec-6c91-5f76-b396-cba8f8385a13,job_recommendation_view,2026-04-29 10:10:06+00:00,"{""variant_id"": ""control""}",job_recommendations,ios,user_action,exp_onboarding_v1,control
d17a33c1-7fd5-525d-9a3d-64360778d42f,a8376540-000d-5855-b682-9aa197e52914,144e2a0f-15fa-59eb-bccb-b662f3ce2d2e,session_start,2026-04-30 09:22:42+00:00,"{""variant_id"": ""control""}",session,ios,user_action,,
